ID|KEYID|KEYSTATUSID|STARTDATE|ENDDATE|OWNERID|PERSONRESPID|NOTE
20778|11222|1|1900-02-25|1900-02-26|0|0|
20779|11221|4|1900-02-26|1900-02-27|0|0|
20780|11225|1|1900-02-27|1900-02-28|0|0|
20781|11230|1|1900-02-28|1900-02-29|0|0|
20782|11227|1|1900-02-29|1900-03-01|0|0|
20783|11226|4|1900-03-01|1900-03-02|0|0|
20784|4352|4|1900-03-02|1900-03-03|0|0|
20785|4350|1|1900-03-03|1900-03-04|0|0|
20786|4349|1|1900-03-04|1900-03-05|0|0|
20787|4356|2|1900-03-05|1900-03-06|0|0|
20788|11236|1|1900-03-06|1900-03-07|0|0|
20789|11237|1|1900-03-07|1900-03-08|0|0|
20790|11240|1|1900-03-08|1900-03-09|0|0|
20791|11241|1|1900-03-09|1900-03-10|0|0|
20792|11258|4|1900-03-10|1900-03-11|0|0|
20793|11268|1|1900-03-11|1900-03-12|0|0|
20794|11269|4|1900-03-12|1900-03-13|0|0|
20795|11274|2|1900-03-13|1900-03-14|0|0|
20796|11264|4|1900-03-14|1900-03-15|0|0|
20797|11260|2|1900-03-15|1900-03-16|0|0|
20798|11256|3|1900-03-16|1900-03-17|1131336|0|
20799|11263|1|1900-03-17|1900-03-18|0|0|
20800|11281|2|1900-03-18|1900-03-19|0|0|
20801|11277|2|1900-03-19|1900-03-20|0|0|
20802|11279|3|1900-03-20|1900-03-21|1292863|0|
20803|11280|1|1900-03-21|1900-03-22|0|0|
20804|20317|1|1900-03-22|1900-03-23|0|0|
20805|11276|1|1900-03-23|1900-03-24|0|0|
20806|11282|1|1900-03-24|1900-03-25|0|0|
20807|17820|2|1900-03-25|1900-03-26|0|0|
20808|11297|4|1900-03-26|1900-03-27|0|0|
20809|11293|3|1900-03-27|1900-03-28|1156587|0|
20810|11300|2|1900-03-28|1900-03-29|0|0|
20811|11317|1|1900-03-29|1900-03-30|0|0|
20812|11310|2|1900-03-30|1900-03-31|0|0|
20813|11309|2|1900-03-31|1900-04-01|0|0|
20814|11311|2|1900-04-01|1900-04-02|0|0|
20815|11315|1|1900-04-02|1900-04-03|0|0|
20816|11308|1|1900-04-03|1900-04-04|0|0|
20817|11312|2|1900-04-04|1900-04-05|0|0|
20818|11320|1|1900-04-05|1900-04-06|0|0|
20819|11331|4|1900-04-06|1900-04-07|0|0|
20820|11332|1|1900-04-07|1900-04-08|0|0|
20821|11334|1|1900-04-08|1900-04-09|0|0|
20822|11335|5|1900-04-09|1900-04-10|0|0|
20823|11336|2|1900-04-10|1900-04-11|0|0|
20824|17116|1|1900-04-11|1900-04-12|0|0|
20825|7356|1|1900-04-12|1900-04-13|0|0|
20826|7357|3|1900-04-13|1900-04-14|1265296|0|
20827|11483|3|1900-04-14|1900-04-15|1341614|0|
20828|11485|3|1900-04-15|1900-04-16|1293043|0|
20829|11486|3|1900-04-16|1900-04-17|1121503|0|
20830|11487|1|1900-04-17|1900-04-18|0|0|
20831|11494|3|1900-04-18|1900-04-19|1256829|0|
20832|11496|1|1900-04-19|1900-04-20|0|0|
20833|11490|1|1900-04-20|1900-04-21|0|0|
20834|11489|1|1900-04-21|1900-04-22|0|0|
20835|11491|1|1900-04-22|1900-04-23|0|0|
20836|11492|1|1900-04-23|1900-04-24|0|0|
20837|11493|1|1900-04-24|1900-04-25|0|0|
20838|11488|1|1900-04-25|1900-04-26|0|0|
20839|11495|3|1900-04-26|1900-04-27|1240090|0|
20840|11498|4|1900-04-27|1900-04-28|0|0|
20841|11497|1|1900-04-28|1900-04-29|0|0|
20842|11499|4|1900-04-29|1900-04-30|0|0|
20843|11506|2|1900-04-30|1900-05-01|0|0|
20844|11518|3|1900-05-01|1900-05-02|1328560|0|
20845|11519|3|1900-05-02|1900-05-03|1328560|0|
20846|11521|2|1900-05-03|1900-05-04|0|0|
20847|11520|2|1900-05-04|1900-05-05|0|0|
20848|11523|4|1900-05-05|1900-05-06|0|0|
20849|11522|3|1900-05-06|1900-05-07|1154337|0|
20850|11528|3|1900-05-07|1900-05-08|1272621|0|
20851|11529|1|1900-05-08|1900-05-09|0|0|
20852|11530|1|1900-05-09|1900-05-10|0|0|
20853|11533|2|1900-05-10|1900-05-11|0|0|
20854|20319|3|1900-05-11|1900-05-12|1293374|0|
20855|20320|3|1900-05-12|1900-05-13|1296235|0|
20856|11536|1|1900-05-13|1900-05-14|0|0|
20857|11539|2|1900-05-14|1900-05-15|0|0|
20858|11540|3|1900-05-15|1900-05-16|1297618|0|
20859|11541|3|1900-05-16|1900-05-17|1327167|0|
20860|11542|3|1900-05-17|1900-05-18|1288833|0|
20861|11543|3|1900-05-18|1900-05-19|1321458|0|
20862|11544|3|1900-05-19|1900-05-20|1233637|0|
20863|11545|1|1900-05-20|1900-05-21|0|0|
20864|11549|2|1900-05-21|1900-05-22|0|0|
20865|11551|3|1900-05-22|1900-05-23|1305505|0|
20866|11555|4|1900-05-23|1900-05-24|0|0|
20867|11556|3|1900-05-24|1900-05-25|1289531|0|
20868|11553|1|1900-05-25|1900-05-26|0|0|
20869|11559|1|1900-05-26|1900-05-27|0|0|
20870|11560|1|1900-05-27|1900-05-28|0|0|
20871|11558|1|1900-05-28|1900-05-29|0|0|
20872|11557|1|1900-05-29|1900-05-30|0|0|
20873|11561|1|1900-05-30|1900-05-31|0|0|
20874|20321|1|1900-05-31|1900-06-01|0|0|
20875|11562|1|1900-06-01|1900-06-02|0|0|
20876|9471|1|1900-06-02|1900-06-03|0|0|
20877|9472|1|1900-06-03|1900-06-04|0|0|
20878|11563|1|1900-06-04|1900-06-05|0|0|
20879|11564|1|1900-06-05|1900-06-06|0|0|
20880|11565|1|1900-06-06|1900-06-07|0|0|
20881|11566|1|1900-06-07|1900-06-08|0|0|
20882|11567|1|1900-06-08|1900-06-09|0|0|
20883|11568|1|1900-06-09|1900-06-10|0|0|
20884|11570|5|1900-06-10|1900-06-11|0|0|
20885|11574|1|1900-06-11|1900-06-12|0|0|
20886|11572|2|1900-06-12|1900-06-13|0|0|
20887|11584|3|1900-06-13|1900-06-14|1302894|0|
20888|11585|3|1900-06-14|1900-06-15|1157150|0|
20889|11586|3|1900-06-15|1900-06-16|1269813|0|
20890|11587|3|1900-06-16|1900-06-17|1243685|0|
20891|11588|3|1900-06-17|1900-06-18|1198371|0|
20892|11589|3|1900-06-18|1900-06-19|1297736|0|
20893|11590|3|1900-06-19|1900-06-20|1255982|0|
20894|11591|3|1900-06-20|1900-06-21|1120121|0|
20895|10121|1|1900-06-21|1900-06-22|0|0|
20896|10130|1|1900-06-22|1900-06-23|0|0|
20897|10123|1|1900-06-23|1900-06-24|0|0|
20898|10129|1|1900-06-24|1900-06-25|0|0|
20899|10128|1|1900-06-25|1900-06-26|0|0|
20900|10124|1|1900-06-26|1900-06-27|0|0|
20901|10125|1|1900-06-27|1900-06-28|0|0|
20902|10126|1|1900-06-28|1900-06-29|0|0|
20903|10122|1|1900-06-29|1900-06-30|0|0|
20904|10127|1|1900-06-30|1900-07-01|0|0|
20905|10131|1|1900-07-01|1900-07-02|0|0|
20906|10120|4|1900-07-02|1900-07-03|0|0|
20907|13155|1|1900-07-03|1900-07-04|0|0|
20908|13156|1|1900-07-04|1900-07-05|0|0|
20909|13157|3|1900-07-05|1900-07-06|1247101|0|
20910|4139|3|1900-07-06|1900-07-07|1288194|0|
20911|4467|4|1900-07-07|1900-07-08|0|0|
20912|4468|2|1900-07-08|1900-07-09|0|0|
20913|4472|3|1900-07-09|1900-07-10|1293289|0|
20914|4473|3|1900-07-10|1900-07-11|1294122|0|
20915|4470|3|1900-07-11|1900-07-12|1257295|0|
20916|4466|3|1900-07-12|1900-07-13|1294122|0|
20917|4477|3|1900-07-13|1900-07-14|1131336|0|
20918|11752|3|1900-07-14|1900-07-15|1152985|0|
20919|11754|3|1900-07-15|1900-07-16|0|0|
20920|4275|2|1900-07-16|1900-07-17|0|0|
20921|4271|2|1900-07-17|1900-07-18|0|0|
20922|4270|2|1900-07-18|1900-07-19|0|0|
20923|4280|2|1900-07-19|1900-07-20|0|0|
20924|4281|3|1900-07-20|1900-07-21|1329495|0|
20925|14865|2|1900-07-21|1900-07-22|0|0|
20926|14869|2|1900-07-22|1900-07-23|0|0|
20927|14873|2|1900-07-23|1900-07-24|0|0|
20928|14874|2|1900-07-24|1900-07-25|0|0|
20929|11929|3|1900-07-25|1900-07-26|1293280|0|
20930|7939|3|1900-07-26|1900-07-27|1928719|0|
20931|11595|2|1900-07-27|1900-07-28|0|0|
20932|11599|2|1900-07-28|1900-07-29|0|0|
20933|11600|2|1900-07-29|1900-07-30|0|0|
20934|11602|2|1900-07-30|1900-07-31|0|0|
20935|11593|2|1900-07-31|1900-08-01|0|0|
20936|11596|2|1900-08-01|1900-08-02|0|0|
20937|11598|2|1900-08-02|1900-08-03|0|0|
20938|20423|3|1900-08-03|1900-08-04|1224665|0|
20939|10372|2|1900-08-04|1900-08-05|0|0|
20940|10393|2|1900-08-05|1900-08-06|0|0|
20941|15098|2|1900-08-06|1900-08-07|0|0|
20942|15403|2|1900-08-07|1900-08-08|0|0|
20943|564|3|1900-08-08|1900-08-09|1305069|0|
20944|565|3|1900-08-09|1900-08-10|1317538|0|
20945|17136|3|1900-08-10|1900-08-11|1293619|0|
20946|17137|3|1900-08-11|1900-08-12|1293619|0|
20947|11603|1|1900-08-12|1900-08-13|0|0|
20948|11605|1|1900-08-13|1900-08-14|0|0|
20949|16071|1|1900-08-14|1900-08-15|0|0|
20950|16079|2|1900-08-15|1900-08-16|0|0|
20951|20398|3|1900-08-16|1900-08-17|1357200|0|
20952|17453|2|1900-08-17|1900-08-18|0|0|
20953|11614|3|1900-08-18|1900-08-19|1225550|0|
20954|11613|4|1900-08-19|1900-08-20|0|0|
20955|11615|2|1900-08-20|1900-08-21|0|0|
20956|11612|2|1900-08-21|1900-08-22|0|0|
20957|11617|2|1900-08-22|1900-08-23|0|0|
20958|11610|3|1900-08-23|1900-08-24|1323118|0|
20959|17579|3|1900-08-24|1900-08-25|1253497|0|
20960|17582|3|1900-08-25|1900-08-26|1270381|0|
20961|17585|1|1900-08-26|1900-08-27|0|0|
20962|17587|1|1900-08-27|1900-08-28|0|0|
20963|17653|3|1900-08-28|1900-08-29|1621132|0|
20964|18462|3|1900-08-29|1900-08-30|1405908|0|
20965|18469|3|1900-08-30|1900-08-31|1253497|0|
20966|18623|2|1900-08-31|1900-09-01|0|0|
20967|18624|2|1900-09-01|1900-09-02|0|0|
20968|18625|2|1900-09-02|1900-09-03|0|0|
20969|18627|2|1900-09-03|1900-09-04|0|0|
20970|11620|3|1900-09-04|1900-09-05|1259608|0|
20971|18777|3|1900-09-05|1900-09-06|1299801|0|
20972|18778|3|1900-09-06|1900-09-07|1313650|0|
20973|18779|3|1900-09-07|1900-09-08|1272888|0|
20974|18780|3|1900-09-08|1900-09-09|1277341|0|
20975|18776|3|1900-09-09|1900-09-10|1277341|0|
20976|18987|2|1900-09-10|1900-09-11|0|0|
20977|18983|3|1900-09-11|1900-09-12|1166088|0|
20978|19027|3|1900-09-12|1900-09-13|1405908|0|
20979|19028|2|1900-09-13|1900-09-14|0|0|
20980|19060|4|1900-09-14|1900-09-15|0|0|
20981|19059|3|1900-09-15|1900-09-16|1275950|0|
20982|19058|3|1900-09-16|1900-09-17|1277351|0|
20983|19063|3|1900-09-17|1900-09-18|1277351|0|
20984|19064|3|1900-09-18|1900-09-19|1277351|0|
20985|19065|3|1900-09-19|1900-09-20|1230363|0|
20986|19066|3|1900-09-20|1900-09-21|1868200|0|
20987|19409|2|1900-09-21|1900-09-22|0|0|
20988|19410|3|1900-09-22|1900-09-23|1297736|0|
20989|19437|3|1900-09-23|1900-09-24|1257919|0|
20990|19438|3|1900-09-24|1900-09-25|1251443|0|
20991|19439|3|1900-09-25|1900-09-26|1274076|0|
20992|19440|3|1900-09-26|1900-09-27|1174311|0|
20993|19441|3|1900-09-27|1900-09-28|1180991|0|
20994|19442|3|1900-09-28|1900-09-29|1328560|0|
20995|19443|3|1900-09-29|1900-09-30|1251817|0|
20996|19444|3|1900-09-30|1900-10-01|1329495|0|
20997|19555|3|1900-10-01|1900-10-02|1131336|0|
20998|19554|3|1900-10-02|1900-10-03|1256829|0|
20999|19553|3|1900-10-03|1900-10-04|1143724|0|
21000|19559|3|1900-10-04|1900-10-05|1303337|0|
21001|19557|3|1900-10-05|1900-10-06|1317538|0|
21002|19558|3|1900-10-06|1900-10-07|1317538|0|
21003|19556|3|1900-10-07|1900-10-08|1325860|0|
21004|19560|3|1900-10-08|1900-10-09|1131336|0|
21005|19561|3|1900-10-09|1900-10-10|1256829|0|
21006|19563|3|1900-10-10|1900-10-11|1325860|0|
21007|19565|3|1900-10-11|1900-10-12|1137823|0|
21008|19567|3|1900-10-12|1900-10-13|1137085|0|
21009|19568|3|1900-10-13|1900-10-14|1645689|0|
21010|19579|2|1900-10-14|1900-10-15|0|0|
21011|11623|3|1900-10-15|1900-10-16|1169234|0|
21012|20323|3|1900-10-16|1900-10-17|1200682|0|
21013|11624|3|1900-10-17|1900-10-18|1333721|0|
21014|11625|3|1900-10-18|1900-10-19|1176513|0|
21015|11628|3|1900-10-19|1900-10-20|1302894|0|
21016|11630|3|1900-10-20|1900-10-21|1152985|0|
21017|11631|3|1900-10-21|1900-10-22|1317126|0|
21018|11634|3|1900-10-22|1900-10-23|1198371|0|
21019|11637|3|1900-10-23|1900-10-24|1133802|0|
21020|19652|3|1900-10-24|1900-10-25|1298439|0|
21021|19653|3|1900-10-25|1900-10-26|1298439|0|
21022|19677|3|1900-10-26|1900-10-27|1270381|0|
21023|19678|3|1900-10-27|1900-10-28|1259608|0|
21024|19672|3|1900-10-28|1900-10-29|1405908|0|
21025|19674|3|1900-10-29|1900-10-30|1259608|0|
21026|19675|3|1900-10-30|1900-10-31|1255032|0|
21027|19676|3|1900-10-31|1900-11-01|1928719|0|
21028|19708|3|1900-11-01|1900-11-02|1143725|0|
21029|8748|3|1900-11-02|1900-11-03|1292923|0|
21030|8750|2|1900-11-03|1900-11-04|0|0|
21031|11428|1|1900-11-04|1900-11-05|0|0|
21032|11451|1|1900-11-05|1900-11-06|0|0|
21033|11450|1|1900-11-06|1900-11-07|0|0|
21034|16065|3|1900-11-07|1900-11-08|1270275|0|
21035|16066|3|1900-11-08|1900-11-09|1239004|0|
21036|16064|1|1900-11-09|1900-11-10|0|0|
21037|16060|1|1900-11-10|1900-11-11|0|0|
21038|16062|1|1900-11-11|1900-11-12|0|0|
21039|16061|3|1900-11-12|1900-11-13|1257295|0|
21040|16063|3|1900-11-13|1900-11-14|1881141|0|
21041|10581|1|1900-11-14|1900-11-15|0|0|
21042|10582|1|1900-11-15|1900-11-16|0|0|
21043|10578|1|1900-11-16|1900-11-17|0|0|
21044|10589|1|1900-11-17|1900-11-18|0|0|
21045|11699|3|1900-11-18|1900-11-19|1188798|0|
21046|16015|2|1900-11-19|1900-11-20|0|0|
21047|11708|1|1900-11-20|1900-11-21|0|0|
21048|11707|3|1900-11-21|1900-11-22|1322885|0|
21049|16026|3|1900-11-22|1900-11-23|1324739|0|
21050|11725|3|1900-11-23|1900-11-24|1288249|0|
21051|11119|1|1900-11-24|1900-11-25|0|0|
21052|11123|3|1900-11-25|1900-11-26|1329496|0|
21053|11130|1|1900-11-26|1900-11-27|0|0|
21054|11131|1|1900-11-27|1900-11-28|0|0|
21055|11135|3|1900-11-28|1900-11-29|1329496|0|
21056|11134|4|1900-11-29|1900-11-30|0|0|
21057|11136|1|1900-11-30|1900-12-01|0|0|
21058|11137|3|1900-12-01|1900-12-02|1164669|0|
21059|11139|3|1900-12-02|1900-12-03|1271359|0|
21060|11140|1|1900-12-03|1900-12-04|0|0|
21061|11142|1|1900-12-04|1900-12-05|0|0|
21062|11143|1|1900-12-05|1900-12-06|0|0|
21063|11141|1|1900-12-06|1900-12-07|0|0|
21064|11145|1|1900-12-07|1900-12-08|0|0|
21065|11146|4|1900-12-08|1900-12-09|0|0|
21066|11144|1|1900-12-09|1900-12-10|0|0|
21067|17113|4|1900-12-10|1900-12-11|0|0|
21068|17114|4|1900-12-11|1900-12-12|0|0|
21069|11650|2|1900-12-12|1900-12-13|0|0|
21070|11686|1|1900-12-13|1900-12-14|0|0|
21071|11657|3|1900-12-14|1900-12-15|1293280|0|
21072|11664|2|1900-12-15|1900-12-16|0|0|
21073|11668|3|1900-12-16|1900-12-17|1272403|0|
21074|11682|3|1900-12-17|1900-12-18|1251002|0|
21075|11669|1|1900-12-18|1900-12-19|0|0|
21076|11660|2|1900-12-19|1900-12-20|0|0|
21077|11663|2|1900-12-20|1900-12-21|0|0|
21078|11661|5|1900-12-21|1900-12-22|0|0|
21079|11680|2|1900-12-22|1900-12-23|0|0|
21080|11673|3|1900-12-23|1900-12-24|1328560|0|
21081|11675|3|1900-12-24|1900-12-25|1303184|0|
21082|11689|3|1900-12-25|1900-12-26|1169586|0|
21083|11679|4|1900-12-26|1900-12-27|0|0|
21084|11678|4|1900-12-27|1900-12-28|0|0|
21085|11667|4|1900-12-28|1900-12-29|0|0|
21086|11670|4|1900-12-29|1900-12-30|0|0|
21087|11694|3|1900-12-30|1900-12-31|1196125|0|
21088|16677|3|1900-12-31|1901-01-01|1259120|0|
21089|16678|3|1901-01-01|1901-01-02|1293284|0|
21090|16679|3|1901-01-02|1901-01-03|1240928|0|
21091|16682|2|1901-01-03|1901-01-04|0|0|
21092|20402|3|1901-01-04|1901-01-05|1297184|0|
21093|16684|3|1901-01-05|1901-01-06|1259120|0|
21094|17559|1|1901-01-06|1901-01-07|0|0|
21095|17558|3|1901-01-07|1901-01-08|1288194|0|
21096|17561|1|1901-01-08|1901-01-09|0|0|
21097|16701|3|1901-01-09|1901-01-10|1325047|0|
21098|16696|3|1901-01-10|1901-01-11|1250420|0|
21099|16698|2|1901-01-11|1901-01-12|0|0|
21100|16702|4|1901-01-12|1901-01-13|0|0|
21101|16699|3|1901-01-13|1901-01-14|1297184|0|
21102|16697|3|1901-01-14|1901-01-15|1271376|0|
21103|16701|3|1901-01-15|1901-01-16|1325047|0|
21104|18593|3|1901-01-16|1901-01-17|1266889|0|
21105|12636|3|1901-01-17|1901-01-18|1254879|0|
21106|12638|3|1901-01-18|1901-01-19|1306930|0|
21107|12639|3|1901-01-19|1901-01-20|1325047|0|
21108|12640|2|1901-01-20|1901-01-21|0|0|
21109|18488|3|1901-01-21|1901-01-22|1137085|0|
21110|11776|1|1901-01-22|1901-01-23|0|0|
21111|11779|1|1901-01-23|1901-01-24|0|0|
21112|11775|1|1901-01-24|1901-01-25|0|0|
21113|11778|1|1901-01-25|1901-01-26|0|0|
21114|11777|1|1901-01-26|1901-01-27|0|0|
21115|11774|1|1901-01-27|1901-01-28|0|0|
21116|3989|3|1901-01-28|1901-01-29|1325860|0|
21117|5466|4|1901-01-29|1901-01-30|0|0|
21118|5467|3|1901-01-30|1901-01-31|1211813|0|
21119|5468|3|1901-01-31|1901-02-01|1211813|0|
21120|5469|2|1901-02-01|1901-02-02|0|0|
21121|5474|3|1901-02-02|1901-02-03|1264501|0|
21122|5472|3|1901-02-03|1901-02-04|1310662|0|
21123|5475|2|1901-02-04|1901-02-05|0|0|
21124|5476|2|1901-02-05|1901-02-06|0|0|
21125|8942|3|1901-02-06|1901-02-07|1338576|0|
21126|8943|3|1901-02-07|1901-02-08|1648862|0|
21127|8944|3|1901-02-08|1901-02-09|1224665|0|
21128|8945|1|1901-02-09|1901-02-10|0|0|
21129|13187|1|1901-02-10|1901-02-11|0|0|
21130|13209|3|1901-02-11|1901-02-12|1226509|0|
21131|13216|3|1901-02-12|1901-02-13|1150814|0|
21132|13217|3|1901-02-13|1901-02-14|1224665|0|
21133|13228|1|1901-02-14|1901-02-15|0|0|
21134|13233|1|1901-02-15|1901-02-16|0|0|
21135|13244|1|1901-02-16|1901-02-17|0|0|
21136|13247|1|1901-02-17|1901-02-18|0|0|
21137|13288|1|1901-02-18|1901-02-19|0|0|
21138|20351|3|1901-02-19|1901-02-20|1335573|0|
21139|13268|3|1901-02-20|1901-02-21|1272621|0|
21140|13266|3|1901-02-21|1901-02-22|1292906|0|
21141|13263|3|1901-02-22|1901-02-23|1226509|0|
21142|13262|3|1901-02-23|1901-02-24|1250300|0|
21143|13271|3|1901-02-24|1901-02-25|1150814|0|
21144|13273|3|1901-02-25|1901-02-26|1247101|0|
21145|13275|3|1901-02-26|1901-02-27|1224665|0|
21146|13278|3|1901-02-27|1901-02-28|1154337|0|
21147|13279|3|1901-02-28|1901-03-01|1648862|0|
21148|8100|1|1901-03-01|1901-03-02|0|0|
21149|8101|3|1901-03-02|1901-03-03|1333721|0|
21150|2183|2|1901-03-03|1901-03-04|0|0|
21151|2184|2|1901-03-04|1901-03-05|0|0|
21152|20185|2|1901-03-05|1901-03-06|0|0|
21153|20186|2|1901-03-06|1901-03-07|0|0|
21154|20187|2|1901-03-07|1901-03-08|0|0|
21155|20188|2|1901-03-08|1901-03-09|0|0|
21156|17122|3|1901-03-09|1901-03-10|1266366|0|
21157|17123|1|1901-03-10|1901-03-11|0|0|
21158|17124|3|1901-03-11|1901-03-12|1293222|0|
21159|17125|1|1901-03-12|1901-03-13|0|0|
21160|6133|1|1901-03-13|1901-03-14|0|0|
21161|6015|3|1901-03-14|1901-03-15|1300676|0|
21162|6016|1|1901-03-15|1901-03-16|0|0|
21163|16852|1|1901-03-16|1901-03-17|0|0|
21164|16853|1|1901-03-17|1901-03-18|0|0|
21165|16850|1|1901-03-18|1901-03-19|0|0|
21166|16851|3|1901-03-19|1901-03-20|1305069|0|
21167|12226|3|1901-03-20|1901-03-21|1257295|0|
21168|12225|1|1901-03-21|1901-03-22|0|0|
21169|12231|1|1901-03-22|1901-03-23|0|0|
21170|12230|1|1901-03-23|1901-03-24|0|0|
21171|12238|1|1901-03-24|1901-03-25|0|0|
21172|15880|1|1901-03-25|1901-03-26|0|0|
21173|15881|1|1901-03-26|1901-03-27|0|0|
21174|8090|1|1901-03-27|1901-03-28|0|0|
21175|8091|3|1901-03-28|1901-03-29|1321955|0|
21176|8548|4|1901-03-29|1901-03-30|0|0|
21177|8549|1|1901-03-30|1901-03-31|0|0|
21178|12260|2|1901-03-31|1901-04-01|0|0|
21179|12259|1|1901-04-01|1901-04-02|0|0|
21180|13125|1|1901-04-02|1901-04-03|0|0|
21181|13126|1|1901-04-03|1901-04-04|0|0|
21182|4439|1|1901-04-04|1901-04-05|0|0|
21183|4440|1|1901-04-05|1901-04-06|0|0|
21184|561|1|1901-04-06|1901-04-07|0|0|
21185|562|1|1901-04-07|1901-04-08|0|0|
21186|4443|1|1901-04-08|1901-04-09|0|0|
21187|4444|4|1901-04-09|1901-04-10|0|0|
21188|5998|1|1901-04-10|1901-04-11|0|0|
21189|6000|1|1901-04-11|1901-04-12|0|0|
21190|17419|3|1901-04-12|1901-04-13|1257295|0|
21191|17420|2|1901-04-13|1901-04-14|0|0|
21192|6175|1|1901-04-14|1901-04-15|0|0|
21193|12270|1|1901-04-15|1901-04-16|0|0|
21194|12993|1|1901-04-16|1901-04-17|0|0|
21195|12994|3|1901-04-17|1901-04-18|1169586|0|
21196|6173|1|1901-04-18|1901-04-19|0|0|
21197|12272|1|1901-04-19|1901-04-20|0|0|
21198|20333|1|1901-04-20|1901-04-21|0|0|
21199|20334|1|1901-04-21|1901-04-22|0|0|
21200|20335|1|1901-04-22|1901-04-23|0|0|
21201|12277|1|1901-04-23|1901-04-24|0|0|
21202|12276|1|1901-04-24|1901-04-25|0|0|
21203|8096|1|1901-04-25|1901-04-26|0|0|
21204|12278|1|1901-04-26|1901-04-27|0|0|
21205|12283|2|1901-04-27|1901-04-28|0|0|
21206|12282|1|1901-04-28|1901-04-29|0|0|
21207|16568|3|1901-04-29|1901-04-30|1251817|0|
21208|16567|1|1901-04-30|1901-05-01|0|0|
21209|16474|3|1901-05-01|1901-05-02|1309558|0|
21210|16473|1|1901-05-02|1901-05-03|0|0|
21211|1286|1|1901-05-03|1901-05-04|0|0|
21212|12285|1|1901-05-04|1901-05-05|0|0|
21213|12284|1|1901-05-05|1901-05-06|0|0|
21214|12286|1|1901-05-06|1901-05-07|0|0|
21215|8094|1|1901-05-07|1901-05-08|0|0|
21216|4851|3|1901-05-08|1901-05-09|1270275|0|
21217|6151|1|1901-05-09|1901-05-10|0|0|
21218|12289|3|1901-05-10|1901-05-11|1317126|0|
21219|12288|1|1901-05-11|1901-05-12|0|0|
21220|12291|1|1901-05-12|1901-05-13|0|0|
21221|12290|1|1901-05-13|1901-05-14|0|0|
21222|9278|1|1901-05-14|1901-05-15|0|0|
21223|9279|3|1901-05-15|1901-05-16|1293043|0|
21224|15761|3|1901-05-16|1901-05-17|1325860|0|
21225|13123|1|1901-05-17|1901-05-18|0|0|
21226|13124|1|1901-05-18|1901-05-19|0|0|
21227|8092|1|1901-05-19|1901-05-20|0|0|
21228|16947|1|1901-05-20|1901-05-21|0|0|
21229|16948|3|1901-05-21|1901-05-22|1257046|0|
21230|4434|1|1901-05-22|1901-05-23|0|0|
21231|4436|1|1901-05-23|1901-05-24|0|0|
21232|4437|1|1901-05-24|1901-05-25|0|0|
21233|20217|3|1901-05-25|1901-05-26|1198371|0|
21234|8088|1|1901-05-26|1901-05-27|0|0|
21235|16952|1|1901-05-27|1901-05-28|0|0|
21236|16953|1|1901-05-28|1901-05-29|0|0|
21237|4441|1|1901-05-29|1901-05-30|0|0|
21238|4442|1|1901-05-30|1901-05-31|0|0|
