ID|CODE|MANU_INFO|DESCRIPTION|BUILDINGID
458|CLRC|C294145|Academic success center testing center|37
459|4976PO|NATIONAL|UP APARTMENT  92 MAILBOX|56
460|WCO|E438725|Welcome center office|14
461|WCC|E030725|Welcome center office closet and door alarms|14
462|WCO1|E430725|Welcome center secretary|14
463|AAA*|||
464|WGLC|E830725|Welcome center grace chapel|14
465|WCIV|E230725|Welcome center interview rooms|14
466|WCM|E478725|Welcome center master(new)|14
467|GMO|C616725|Girls maintenance office|2
468|C642A|20222|FA15 Cabinets near sink|13
469|CSA|LB|IT development|2
470|393|||
471|ESCP19|E230785|SHEPHERDS CARE ROOM 142|2
472|ESCP 20|E632785|SHEPHERDS CARE ROOM 143|
473|ESCP 21|E832785|SHEPHERDS CARE ROOM 144|
474|FM200|KIDDE|pull station|
475|CJHF|CP614121|junior high file room|59
476|ESCP11|E214785|Shepherds care room 103|2
