ID,OLDID,NUMBER,KEYTYPEID
16504,16504,4,3419
16505,16505,5,3419
16506,16506,6,3419
16507,16507,7,3419
16508,16508,8,3419
16509,16509,9,3419
16510,16510,10,3419
16511,16511,1,3420
16512,16512,2,3420
16513,16513,3,3420
16514,16514,4,3420
16515,16515,1,3421
16516,16516,2,3421
16517,16517,3,3421
16518,16518,4,3421
16519,16519,5,3421
16520,16520,6,3421
16521,16521,7,3421
16522,16522,1,3422
16523,16523,2,3422
16524,16524,1,3423
16525,16525,1,3424
16526,16526,2,3424
16527,16527,3,3424
16528,16528,1,3425
16529,16529,2,3425
16530,16530,3,3425
16531,16531,4,3425
16532,16532,1,3426
16533,16533,2,3426
16534,16534,3,3426
16535,16535,1,3427
16536,16536,2,3427
16537,16537,3,3427
16538,16538,1,3428
16539,16539,2,3428
16540,16540,1,3429
16541,16541,2,3429
16542,16542,1,3430
16543,16543,2,3430
16544,16544,1,3431
16545,16545,2,3431
16546,16546,1,3432
16547,16547,2,3432
16548,16548,3,3432
16549,16549,1,3433
16550,16550,2,3433
16551,16551,1,3434
16552,16552,2,3434
16553,16553,1,3435
16554,16554,2,3435
16555,16555,1,3436
16556,16556,2,3436
16557,16557,1,3437
16558,16558,2,3437
16559,16559,1,3438
16560,16560,2,3438
16561,16561,3,3438
16562,16562,4,3438
16563,16563,1,3439
16564,16564,2,3439
16565,16565,1,3440
16566,16566,2,3440
16567,16567,1,3441
16568,16568,2,3441
16569,16569,1,3442
16570,16570,2,3442
16571,16571,3,3442
16572,16572,1,3443
16573,16573,2,3443
16574,16574,1,3444
16575,16575,1,3445
16576,16576,2,3445
16577,16577,1,3446
16578,16578,2,3446
16579,16579,3,3446
16580,16580,1,3447
16581,16581,2,3447
16582,16582,3,3447
16583,16583,4,3447
16584,16584,5,3447
16585,16585,6,3447
16586,16586,7,3447
16587,16587,8,3447
16588,16588,9,3447
16589,16589,10,3447
16590,16590,11,3447
16591,16591,12,3447
16592,16592,13,3447
16593,16593,14,3447
16594,16594,15,3447
16595,16595,16,3447
16596,16596,17,3447
16597,16597,18,3447
16598,16598,19,3447
16599,16599,20,3447
16600,16600,21,3447
16601,16601,22,3447
16602,16602,23,3447
16603,16603,24,3447
16604,16604,25,3447
16605,16605,26,3447
16606,16606,27,3447
16607,16607,28,3447
16608,16608,29,3447
16609,16609,30,3447
16610,16610,31,3447
16611,16611,32,3447
16612,16612,33,3447
16613,16613,34,3447
16614,16614,35,3447
16615,16615,1,3448
16616,16616,2,3448
16617,16617,3,3448
16618,16618,4,3448
16619,16619,5,3448
16620,16620,6,3448
16621,16621,7,3448
16622,16622,8,3448
16623,16623,9,3448
16624,16624,10,3448
16625,16625,11,3448
16626,16626,12,3448
16627,16627,13,3448
16628,16628,14,3448
16629,16629,15,3448
16630,16630,16,3448
16631,16631,17,3448
16632,16632,18,3448
16633,16633,19,3448
16634,16634,20,3448
16635,16635,21,3448
16636,16636,22,3448
16637,16637,23,3448
16638,16638,24,3448
16639,16639,25,3448
16640,16640,26,3448
16641,16641,27,3448
16642,16642,28,3448
16643,16643,29,3448
16644,16644,30,3448
16645,16645,31,3448
16646,16646,32,3448
16647,16647,33,3448
16648,16648,34,3448
16649,16649,35,3448
16650,16650,36,3448
16651,16651,37,3448
16652,16652,38,3448
16653,16653,39,3448
16654,16654,40,3448
16655,16655,41,3448
16656,16656,1,3449
16657,16657,2,3449
16658,16658,1,3450
16659,16659,1,3451
16660,16660,2,3451
16661,16661,3,3451
16662,16662,4,3451
16663,16663,5,3451
16664,16664,6,3451
16665,16665,7,3451
16666,16666,8,3451
16667,16667,1,3452
16668,16668,2,3452
16669,16669,3,3452
16670,16670,4,3452
16671,16671,5,3452
16672,16672,1,3453
16673,16673,2,3453
16674,16674,3,3453
16675,16675,4,3453
16676,16676,5,3453
16677,16677,1,3454
16678,16678,2,3454
16679,16679,3,3454
16680,16680,4,3454
16681,16681,5,3454
16682,16682,6,3454
16683,16683,7,3454
16684,16684,8,3454
16685,16685,1,3455
16686,16686,2,3455
16687,16687,3,3455
16688,16688,4,3455
16689,16689,1,3456
16690,16690,2,3456
16691,16691,3,3456
16692,16692,4,3456
16693,16693,5,3456
16694,16694,6,3456
16695,16695,7,3456
16696,16696,1,3457
16697,16697,2,3457
16698,16698,3,3457
16699,16699,4,3457
16700,16700,5,3457
16701,16701,6,3457
16702,16702,7,3457
16703,16703,8,3457
16704,16704,1,3458
16705,16705,2,3458
16706,16706,1,3459
16707,16707,2,3459
16708,16708,3,3459
16709,16709,4,3459
16710,16710,5,3459
16711,16711,6,3459
16712,16712,7,3459
16713,16713,8,3459
16714,16714,9,3459
16715,16715,1,3460
16716,16716,2,3460
16717,16717,3,3460
16718,16718,4,3460
16719,16719,5,3460
16720,16720,6,3460
16721,16721,7,3460
16722,16722,8,3460
16723,16723,9,3460
16724,16724,10,3460
16725,16725,11,3460
16726,16726,12,3460
16727,16727,1,3461
16728,16728,2,3461
16729,16729,1,3462
16730,16730,2,3462
16731,16731,3,3462
16732,16732,4,3462
16733,16733,5,3462
16734,16734,1,3463
16735,16735,2,3463
16736,16736,3,3463
16737,16737,4,3463
16738,16738,1,3464
16739,16739,2,3464
16740,16740,3,3464
16741,16741,4,3464
16742,16742,5,3464
16743,16743,6,3464
16744,16744,7,3464
16745,16745,1,3465
16746,16746,2,3465
16747,16747,1,3466
16748,16748,1,3467
16749,16749,2,3467
16750,16750,1,3468
16751,16751,2,3468
16752,16752,3,3468
16753,16753,1,3469
16754,16754,2,3469
16755,16755,1,3470
16756,16756,1,3471
16757,16757,2,3471
16758,16758,1,3472
16759,16759,1,3473
16760,16760,2,3473
16761,16761,3,3473
16762,16762,4,3473
16763,16763,1,3474
16764,16764,2,3474
16765,16765,3,3474
16766,16766,1,3475
16767,16767,2,3475
16768,16768,1,3476
16769,16769,2,3476
16770,16770,1,3477
16771,16771,2,3477
16772,16772,1,3478
16773,16773,2,3478
16774,16774,3,3478
16775,16775,1,3479
16776,16776,1,3480
16777,16777,2,3480
16778,16778,1,3481
16779,16779,2,3481
16780,16780,1,3482
16781,16781,2,3482
16782,16782,1,3483
16783,16783,2,3483
16784,16784,1,3484
16785,16785,2,3484
16786,16786,1,3485
16787,16787,2,3485
16788,16788,1,3486
16789,16789,2,3486
16790,16790,3,3486
16791,16791,1,3487
16792,16792,2,3487
16793,16793,1,3488
16794,16794,2,3488
16795,16795,1,3489
16796,16796,2,3489
16797,16797,1,3490
16798,16798,2,3490
16799,16799,3,3490
16800,16800,4,3490
16801,16801,5,3490
16802,16802,1,3491
16803,16803,2,3491
16804,16804,1,3492
16805,16805,1,3493
16806,16806,2,3493
16807,16807,1,3494
16808,16808,2,3494
16809,16809,1,3495
16810,16810,2,3495
16811,16811,3,3495
16812,16812,4,3495
16813,16813,5,3495
16814,16814,6,3495
16815,16815,1,3496
16816,16816,2,3496
16817,16817,1,3497
16818,16818,2,3497
16819,16819,3,3497
16820,16820,4,3497
16821,16821,5,3497
16822,16822,6,3497
16823,16823,7,3497
16824,16824,8,3497
16825,16825,9,3497
16826,16826,1,3498
16827,16827,2,3498
16828,16828,3,3498
16829,16829,4,3498
16830,16830,5,3498
16831,16831,6,3498
16832,16832,7,3498
16833,16833,8,3498
16834,16834,9,3498
16835,16835,10,3498
16836,16836,11,3498
16837,16837,12,3498
16838,16838,13,3498
16839,16839,14,3498
16840,16840,15,3498
16841,16841,16,3498
16842,16842,17,3498
16843,16843,18,3498
16844,16844,1,3499
16845,16845,1,3500
16846,16846,1,3501
16847,16847,2,3501
16848,16848,3,3501
16849,16849,4,3501
16850,16850,1,3502
16851,16851,2,3502
16852,16852,1,3503
16853,16853,2,3503
16854,16854,1,3504
16855,16855,2,3504
16856,16856,1,3505
16857,16857,2,3505
16858,16858,1,3506
16859,16859,2,3506
16860,16860,1,3507
16861,16861,1,3508
16862,16862,2,3508
16863,16863,3,3508
16864,16864,4,3508
16865,16865,5,3508
16866,16866,6,3508
16867,16867,7,3508
16868,16868,8,3508
16869,16869,9,3508
16870,16870,10,3508
16871,16871,1,3509
16872,16872,1,3510
16873,16873,2,3510
16874,16874,3,3510
16875,16875,4,3510
16876,16876,5,3510
16877,16877,1,3511
16878,16878,1,3512
16879,16879,2,3512
16880,29932,2,372
16881,29933,159,292
16882,29934,1,460
16883,16883,1,3513
16884,16884,2,3513
16885,16885,3,3513
16886,16886,4,3513
16887,16887,1,3514
16888,16888,2,3514
16889,16889,3,3514
16890,16890,4,3514
16891,16891,5,3514
16892,16892,6,3514
16893,16893,7,3514
16894,16894,8,3514
16895,16895,9,3514
16896,16896,10,3514
16897,16897,11,3514
16898,16898,12,3514
16899,16899,13,3514
16900,16900,14,3514
16901,16901,15,3514
16902,16902,16,3514
16903,16903,17,3514
16904,16904,18,3514
16905,16905,19,3514
16906,16906,20,3514
16907,16907,21,3514
16908,16908,22,3514
16909,16909,23,3514
16910,16910,24,3514
16911,16911,25,3514
16912,16912,26,3514
16913,16913,27,3514
16914,16914,28,3514
16915,16915,29,3514
16916,16916,30,3514
16917,16917,31,3514
16918,16918,32,3514
16919,16919,33,3514
16920,16920,34,3514
16921,16921,35,3514
16922,16922,36,3514
16923,16923,37,3514
16924,16924,38,3514
16925,16925,39,3514
16926,16926,40,3514
16927,16927,41,3514
16928,16928,42,3514
16929,16929,1,3515
16930,16930,2,3515
16931,16931,1,3516
16932,16932,2,3516
16933,16933,1,3517
16934,16934,2,3517
16935,16935,3,3517
16936,16936,4,3517
16937,16937,1,3518
16938,16938,2,3518
16939,16939,3,3518
16940,16940,4,3518
16941,16941,1,3519
16942,16942,2,3519
16943,16943,3,3519
16944,16944,4,3519
16945,16945,5,3519
16946,16946,6,3519
16947,16947,1,3520
16948,16948,2,3520
16949,16949,1,3521
16950,16950,2,3521
16951,16951,3,3521
16952,16952,1,3522
16953,16953,2,3522
16954,16954,1,3523
16955,16955,2,3523
16956,16956,1,3524
16957,16957,2,3524
16958,16958,1,3525
16959,16959,2,3525
16960,16960,1,3526
16961,16961,2,3526
16962,16962,3,3526
16963,16963,1,3527
16964,16964,2,3527
16965,16965,3,3527
16966,16966,1,3528
16967,16967,2,3528
16968,16968,3,3528
16969,16969,4,3528
16970,16970,5,3528
16971,16971,6,3528
16972,16972,1,3529
16973,16973,2,3529
16974,16974,1,3530
16975,16975,2,3530
16976,16976,3,3530
16977,16977,1,3531
16978,16978,2,3531
16979,16979,3,3531
16980,16980,4,3531
16981,29935,2,460
16982,29936,3,460
16983,29937,1,462
16984,29938,2,462
16985,16985,1,3532
16986,16986,2,3532
16987,16987,3,3532
16988,16988,4,3532
16989,16989,1,3533
16990,16990,2,3533
16991,16991,3,3533
16992,16992,4,3533
16993,16993,5,3533
16994,16994,6,3533
16995,16995,1,3534
16996,16996,2,3534
16997,16997,3,3534
16998,16998,4,3534
16999,16999,5,3534
17000,17000,6,3534
17001,17001,1,3535
17002,17002,2,3535
17003,17003,3,3535
17004,17004,4,3535
17005,17005,1,3536
17006,17006,2,3536
17007,17007,3,3536
17008,17008,4,3536
17009,17009,5,3536
17010,17010,6,3536
17011,17011,1,3537
17012,17012,2,3537
17013,17013,1,3538
17014,17014,2,3538
17015,17015,3,3538
17016,17016,4,3538
17017,17017,5,3538
17018,17018,1,3539
17019,17019,2,3539
17020,17020,3,3539
17021,17021,4,3539
17022,17022,1,3540
17023,17023,2,3540
17024,17024,3,3540
17025,17025,1,3541
17026,17026,2,3541
17027,17027,3,3541
17028,17028,1,3542
17029,17029,2,3542
17030,17030,3,3542
17031,17031,4,3542
17032,17032,1,3543
17033,17033,2,3543
17034,17034,3,3543
17035,17035,1,3544
17036,17036,2,3544
17037,17037,3,3544
17038,17038,4,3544
17039,17039,1,3545
17040,17040,2,3545
17041,17041,3,3545
17042,17042,4,3545
17043,17043,5,3545
17044,17044,6,3545
17045,17045,1,3546
17046,17046,2,3546
17047,17047,3,3546
17048,17048,4,3546
17049,17049,1,3547
17050,17050,2,3547
17051,17051,3,3547
17052,17052,4,3547
17053,17053,5,3547
17054,17054,6,3547
17055,17055,7,3547
17056,17056,8,3547
17057,17057,9,3547
17058,17058,10,3547
17059,17059,1,3548
17060,17060,2,3548
17061,17061,3,3548
17062,17062,4,3548
17063,17063,5,3548
17064,17064,6,3548
17065,17065,7,3548
17066,17066,8,3548
17067,17067,9,3548
17068,17068,10,3548
17069,17069,11,3548
17070,17070,1,3549
17071,17071,2,3549
17072,17072,3,3549
17073,17073,4,3549
17074,17074,5,3549
17075,17075,6,3549
17076,17076,7,3549
17077,17077,8,3549
17078,17078,9,3549
17079,17079,1,3550
17080,17080,2,3550
17081,17081,3,3550
17082,17082,4,3550
17083,17083,1,3551
17084,17084,2,3551
17085,17085,3,3551
17086,17086,4,3551
17087,17087,5,3551
17088,17088,6,3551
17089,17089,7,3551
17090,17090,8,3551
17091,17091,1,3552
17092,17092,2,3552
17093,17093,3,3552
17094,17094,4,3552
17095,17095,5,3552
17096,17096,6,3552
17097,17097,7,3552
17098,17098,8,3552
17099,17099,9,3552
17100,17100,10,3552
17101,17101,11,3552
17102,17102,1,3553
17103,17103,2,3553
17104,17104,3,3553
17105,17105,4,3553
17106,17106,5,3553
17107,17107,1,3554
17108,17108,2,3554
17109,17109,3,3554
17110,17110,4,3554
17111,17111,5,3554
17112,17112,6,3554
17113,17113,1,3555
17114,17114,2,3555
17115,17115,1,3556
17116,17116,2,3556
17117,17117,1,3557
17118,17118,2,3557
17119,17119,3,3557
17120,17120,1,3558
17121,17121,2,3558
17122,17122,1,3559
17123,17123,2,3559
17124,17124,1,3560
17125,17125,2,3560
17126,17126,1,3561
17127,17127,1,3562
17128,17128,2,3562
17129,17129,1,3563
17130,17130,2,3563
17131,17131,1,3564
17132,17132,2,3564
17133,17133,3,3564
17134,17134,1,3565
17135,17135,2,3565
17136,17136,1,3566
17137,17137,2,3566
17138,17138,1,3567
17139,17139,2,3567
17140,17140,1,3568
17141,17141,2,3568
17142,17142,1,3569
17143,17143,2,3569
17144,17144,3,3569
17145,17145,4,3569
17146,17146,5,3569
17147,17147,6,3569
17148,17148,7,3569
17149,17149,8,3569
17150,17150,9,3569
17151,17151,10,3569
17152,17152,11,3569
17153,17153,1,3570
17154,17154,2,3570
17155,17155,3,3570
17156,17156,4,3570
17157,17157,5,3570
17158,17158,6,3570
17159,17159,1,3571
17160,17160,2,3571
17161,17161,3,3571
17162,17162,4,3571
17163,17163,5,3571
17164,17164,6,3571
17165,17165,7,3571
17166,17166,8,3571
17167,17167,9,3571
17168,17168,10,3571
17169,17169,1,3572
17170,17170,2,3572
17171,17171,3,3572
17172,17172,4,3572
17173,17173,5,3572
17174,17174,6,3572
17175,17175,7,3572
17176,17176,8,3572
17177,17177,9,3572
17178,17178,1,3573
17179,17179,2,3573
17180,17180,1,3574
17181,17181,2,3574
17182,17182,1,3575
17183,17183,2,3575
17184,17184,1,3576
17185,17185,2,3576
17186,17186,3,3576
17187,17187,4,3576
17188,17188,5,3576
17189,17189,1,3577
17190,17190,2,3577
17191,17191,3,3577
17192,17192,1,3578
17193,17193,2,3578
17194,17194,3,3578
17195,17195,4,3578
17196,17196,5,3578
17197,17197,6,3578
17198,17198,1,3579
17199,17199,2,3579
17200,17200,3,3579
17201,17201,4,3579
17202,17202,1,3580
17203,17203,2,3580
17204,17204,3,3580
17205,17205,4,3580
17206,17206,1,3581
17207,17207,2,3581
17208,17208,3,3581
17209,17209,4,3581
17210,17210,1,3582
17211,17211,2,3582
17212,17212,3,3582
17213,17213,1,3583
17214,17214,2,3583
17215,17215,3,3583
17216,17216,4,3583
17217,17217,1,3584
17218,29939,3,462
17219,29940,1,461
17220,29941,2,461
17221,29942,3,461
17222,29943,1,464
17223,29944,2,464
17224,29945,3,464
17225,29946,1,465
17226,17226,1,3585
17227,17227,2,3585
17228,17228,1,3586
17229,17229,2,3586
17230,17230,3,3586
17231,17231,4,3586
17232,17232,5,3586
17233,17233,6,3586
17234,17234,7,3586
17235,17235,8,3586
17236,17236,1,3587
17237,17237,2,3587
17238,17238,1,3588
17239,17239,2,3588
17240,17240,3,3588
17241,17241,1,3589
17242,17242,2,3589
17243,17243,3,3589
17244,17244,4,3589
17245,17245,1,3590
17246,17246,2,3590
17247,17247,3,3590
17248,17248,1,3591
17249,17249,2,3591
17250,17250,1,3592
17251,17251,1,3593
17252,17252,2,3593
17253,17253,1,3594
17254,17254,2,3594
17255,17255,3,3594
17256,17256,1,3595
17257,17257,2,3595
17258,17258,3,3595
17259,17259,4,3595
17260,17260,5,3595
17261,17261,1,3596
17262,17262,2,3596
17263,17263,3,3596
17264,17264,4,3596
17265,17265,5,3596
17266,17266,1,3597
17267,17267,2,3597
17268,17268,3,3597
17269,17269,4,3597
17270,17270,5,3597
17271,17271,1,3598
17272,17272,1,3599
17273,17273,2,3599
17274,17274,3,3599
17275,17275,4,3599
17276,17276,5,3599
17277,17277,6,3599
17278,17278,7,3599
17279,17279,1,3600
17280,17280,2,3600
17281,17281,1,3601
17282,17282,2,3601
17283,17283,3,3601
17284,17284,1,3602
17285,17285,2,3602
17286,17286,3,3602
17287,17287,4,3602
17288,17288,1,3603
17289,17289,2,3603
17290,17290,3,3603
17291,17291,4,3603
17292,17292,5,3603
17293,17293,1,3604
17294,17294,2,3604
17295,17295,1,3605
17296,17296,1,3606
17297,17297,1,3607
17298,17298,2,3607
17299,17299,3,3607
17300,17300,1,3608
17301,17301,2,3608
17302,17302,1,3609
17303,17303,2,3609
17304,17304,1,3610
17305,17305,2,3610
17306,17306,1,3611
17307,17307,1,3612
17308,17308,1,3613
17309,17309,2,3613
17310,17310,3,3613
17311,17311,4,3613
17312,17312,5,3613
17313,17313,6,3613
17314,17314,7,3613
17315,17315,8,3613
17316,17316,1,3614
17317,17317,1,3615
17318,17318,2,3615
17319,17319,1,3616
17320,17320,2,3616
17321,17321,1,3617
17322,17322,2,3617
17323,17323,1,3618
17324,17324,2,3618
17325,17325,3,3618
17326,17326,1,3619
17327,17327,2,3619
17328,17328,3,3619
17329,17329,4,3619
17330,17330,1,3620
17331,17331,2,3620
17332,17332,3,3620
17333,17333,4,3620
17334,17334,5,3620
17335,17335,6,3620
17336,17336,7,3620
17337,17337,8,3620
17338,17338,9,3620
17339,17339,10,3620
17340,17340,11,3620
17341,17341,1,3621
17342,17342,2,3621
17343,17343,1,3622
17344,17344,1,3623
17345,17345,2,3623
17346,17346,3,3623
17347,17347,1,3624
17348,17348,2,3624
17349,17349,3,3624
17350,17350,4,3624
17351,17351,5,3624
17352,17352,6,3624
17353,17353,7,3624
17354,17354,8,3624
17355,17355,9,3624
17356,17356,10,3624
17357,17357,11,3624
17358,17358,12,3624
17359,17359,13,3624
17360,17360,14,3624
17361,17361,15,3624
17362,17362,1,3625
17363,17363,2,3625
17364,17364,3,3625
17365,17365,4,3625
17366,17366,5,3625
17367,17367,6,3625
17368,17368,7,3625
17369,17369,8,3625
17370,17370,1,3626
17371,17371,2,3626
17372,17372,1,3627
17373,17373,2,3627
17374,17374,1,3628
17375,17375,2,3628
17376,17376,3,3628
17377,17377,4,3628
17378,17378,5,3628
17379,17379,1,3629
17380,17380,2,3629
17381,17381,3,3629
17382,17382,4,3629
17383,17383,5,3629
17384,17384,6,3629
17385,17385,1,3630
17386,17386,2,3630
17387,17387,3,3630
17388,17388,4,3630
17389,17389,1,3631
17390,17390,1,3632
17391,17391,1,3633
17392,17392,1,3634
17393,17393,2,3634
17394,17394,1,3635
17395,17395,1,3636
17396,17396,1,3637
17397,17397,1,3638
17398,17398,1,3639
17399,17399,1,3640
17400,17400,1,3641
17401,17401,1,3642
17402,17402,1,3643
17403,17403,1,3644
17404,17404,1,3645
17405,17405,2,3645
17406,17406,3,3645
17407,17407,4,3645
17408,17408,5,3645
17409,17409,6,3645
17410,17410,7,3645
17411,17411,1,3646
17412,17412,2,3646
17413,17413,1,3647
17414,17414,1,3648
17415,17415,1,3649
17416,17416,1,3650
17417,17417,1,3651
17418,17418,1,3652
17419,17419,1,3653
17420,17420,2,3653
17421,17421,3,3653
17422,17422,1,3654
17423,17423,2,3654
17424,17424,1,3655
17425,17425,2,3655
17426,17426,3,3655
17427,17427,4,3655
17428,17428,5,3655
17429,17429,6,3655
17430,17430,7,3655
17431,17431,8,3655
17432,17432,9,3655
17433,17433,10,3655
17434,17434,11,3655
17435,17435,12,3655
17436,17436,13,3655
17437,17437,14,3655
17438,17438,15,3655
17439,17439,16,3655
17440,17440,17,3655
17441,17441,18,3655
17442,17442,19,3655
17443,17443,20,3655
17444,17444,21,3655
17445,17445,22,3655
17446,17446,23,3655
17447,17447,24,3655
17448,17448,25,3655
17449,17449,26,3655
17450,17450,27,3655
17451,17451,28,3655
17452,17452,29,3655
17453,17453,1,3656
17454,17454,1,3657
17455,17455,2,3657
17456,17456,1,3658
17457,17457,1,3659
17458,17458,2,3659
17459,17459,1,3660
17460,17460,1,3661
17461,17461,2,3661
17462,17462,1,3662
17463,17463,2,3662
17464,17464,3,3662
17465,17465,4,3662
17466,17466,5,3662
17467,17467,6,3662
17468,17468,7,3662
17469,17469,8,3662
17470,17470,9,3662
17471,17471,10,3662
17472,17472,1,3663
17473,17473,2,3663
17474,29947,2,465
17475,29948,3,465
17476,29949,170,1574
17477,29950,1,466
17478,17478,1,3664
17479,17479,2,3664
17480,17480,3,3664
17481,17481,1,3665
17482,17482,1,3666
17483,17483,2,3666
17484,17484,1,3667
17485,17485,2,3667
17486,17486,1,3668
17487,17487,2,3668
17488,17488,3,3668
17489,17489,1,3669
17490,17490,2,3669
17491,17491,1,3670
17492,17492,2,3670
17493,17493,3,3670
17494,17494,4,3670
17495,17495,5,3670
17496,17496,6,3670
17497,17497,7,3670
17498,17498,8,3670
17499,17499,9,3670
17500,17500,10,3670
17501,17501,11,3670
17502,17502,12,3670
17503,17503,1,3671
17504,17504,2,3671
17505,17505,1,3672
17506,17506,2,3672
17507,17507,1,3673
17508,27900,4,3684
17509,27901,8,4442
17510,27902,1,4413
17511,17511,1,3676
17512,17512,2,3676
17513,17513,3,3676
17514,17514,4,3676
17515,17515,5,3676
17516,17516,6,3676
17517,17517,7,3676
17518,17518,8,3676
17519,17519,9,3676
17520,17520,10,3676
17521,17521,11,3676
17522,17522,12,3676
17523,17523,13,3676
17524,17524,14,3676
17525,17525,15,3676
17526,17526,16,3676
17527,17527,17,3676
17528,17528,18,3676
17529,17529,19,3676
17530,17530,20,3676
17531,17531,21,3676
17532,17532,1,3677
17533,17533,2,3677
17534,17534,1,3679
17535,17535,2,3679
17536,17536,3,3679
17537,17537,4,3679
17538,17538,5,3679
17539,17539,6,3679
17540,17540,1,3680
17541,17541,1,3681
17542,17542,2,3681
17543,17543,3,3681
17544,17544,1,3682
17545,17545,2,3682
17546,17546,3,3682
17547,17547,4,3682
17548,17548,1,3683
17549,17549,2,3683
17550,17550,3,3683
17551,17551,1,3684
17552,17552,2,3684
17553,17553,3,3684
17554,17554,1,3685
17555,17555,2,3685
17556,17556,1,3686
17557,17557,2,3686
17558,17558,1,3687
17559,17559,2,3687
17560,17560,3,3687
17561,17561,4,3687
17562,17562,1,3688
17563,17563,2,3688
17564,17564,3,3688
17565,17565,4,3688
17566,17566,5,3688
17567,17567,6,3688
17568,17568,7,3688
17569,17569,8,3688
17570,17570,9,3688
17571,17571,1,3689
17572,17572,2,3689
17573,17573,3,3689
17574,17574,4,3689
17575,17575,5,3689
17576,17576,6,3689
17577,17577,7,3689
17578,17578,8,3689
17579,17579,9,3689
17580,17580,10,3689
17581,17581,11,3689
17582,17582,12,3689
17583,17583,13,3689
17584,17584,14,3689
17585,17585,15,3689
17586,17586,16,3689
17587,17587,17,3689
17588,17588,18,3689
17589,17589,1,3690
17590,17590,2,3690
17591,17591,3,3690
17592,17592,4,3690
17593,17593,5,3690
17594,17594,6,3690
17595,17595,7,3690
17596,17596,1,3691
17597,17597,1,3692
17598,17598,2,3692
17599,17599,1,3693
17600,17600,2,3693
17601,29951,2,466
17602,17602,1,3694
17603,17603,1,3695
17604,17604,2,3695
17605,17605,3,3695
17606,17606,4,3695
17607,17607,5,3695
17608,17608,6,3695
17609,17609,7,3695
17610,17610,8,3695
17611,17611,1,3696
17612,17612,1,3697
17613,17613,1,3698
17614,17614,2,3698
17615,17615,3,3698
17616,17616,1,3699
17617,17617,2,3699
17618,17618,3,3699
17619,17619,1,3700
17620,17620,2,3700
17621,17621,1,3701
17622,17622,2,3701
17623,17623,3,3701
17624,17624,4,3701
17625,17625,1,3702
17626,17626,2,3702
17627,17627,3,3702
17628,17628,1,3703
17629,17629,2,3703
17630,17630,3,3703
17631,17631,4,3703
17632,17632,1,3704
17633,17633,2,3704
17634,17634,3,3704
17635,17635,1,3705
17636,17636,2,3705
17637,17637,3,3705
17638,17638,1,3706
17639,17639,2,3706
17640,17640,3,3706
17641,17641,1,3707
17642,17642,2,3707
17643,17643,3,3707
17644,17644,4,3707
17645,17645,1,3708
17646,17646,2,3708
17647,17647,3,3708
17648,17648,1,3709
17649,17649,2,3709
17650,17650,3,3709
17651,17651,4,3709
17652,17652,5,3709
17653,17653,6,3709
17654,17654,1,3710
